timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1660340655115,3078,https://opensource-demo.orangehrmlive.com/index.php/dashboard/pendingLeaveRequests,200,OK,Thread Group 1-1,text,true,,1246598,15007,2,2,https://opensource-demo.orangehrmlive.com/index.php/dashboard/pendingLeaveRequests,692,0,365
1660340655115,859,https://opensource-demo.orangehrmlive.com/index.php/dashboard/pendingLeaveRequests-0,200,OK,Thread Group 1-1,text,true,,39293,427,2,2,https://opensource-demo.orangehrmlive.com/index.php/dashboard/pendingLeaveRequests,692,0,365
1660340655977,538,https://opensource-demo.orangehrmlive.com/index.php/dashboard/pendingLeaveRequests-1,200,OK,Thread Group 1-1,bin,true,,1899,503,2,2,https://opensource-demo.orangehrmlive.com/webres_62f653e6d243d7.28560473/themes/default/images/favicon.ico,538,0,364
1660340655977,180,https://opensource-demo.orangehrmlive.com/index.php/dashboard/pendingLeaveRequests-2,200,OK,Thread Group 1-1,text,true,,2370,498,2,2,https://opensource-demo.orangehrmlive.com/webres_62f653e6d243d7.28560473/themes/default/css/reset.css,180,0,0
1660340655977,535,https://opensource-demo.orangehrmlive.com/index.php/dashboard/pendingLeaveRequests-3,200,OK,Thread Group 1-1,text,true,,3753,499,2,2,https://opensource-demo.orangehrmlive.com/webres_62f653e6d243d7.28560473/themes/default/css/tipTip.css,535,0,364
1660340655977,708,https://opensource-demo.orangehrmlive.com/index.php/dashboard/pendingLeaveRequests-4,200,OK,Thread Group 1-1,text,true,,34412,523,2,2,https://opensource-demo.orangehrmlive.com/webres_62f653e6d243d7.28560473/themes/default/css/jquery/jquery-ui-1.8.21.custom.css,687,0,354
1660340655977,520,https://opensource-demo.orangehrmlive.com/index.php/dashboard/pendingLeaveRequests-5,200,OK,Thread Group 1-1,text,true,,2131,519,2,2,https://opensource-demo.orangehrmlive.com/webres_62f653e6d243d7.28560473/themes/default/css/jquery/jquery.autocomplete.css,520,0,349
1660340655977,769,https://opensource-demo.orangehrmlive.com/index.php/dashboard/pendingLeaveRequests-6,200,OK,Thread Group 1-1,text,true,,37074,497,2,2,https://opensource-demo.orangehrmlive.com/webres_62f653e6d243d7.28560473/themes/default/css/main.css,713,0,376
1660340656158,876,https://opensource-demo.orangehrmlive.com/index.php/dashboard/pendingLeaveRequests-7,200,OK,Thread Group 1-1,text,true,,89482,499,2,2,https://opensource-demo.orangehrmlive.com/webres_62f653e6d243d7.28560473/js/jquery/jquery-3.4.1.min.js,693,0,354
1660340656497,864,https://opensource-demo.orangehrmlive.com/index.php/dashboard/pendingLeaveRequests-8,200,OK,Thread Group 1-1,text,true,,40467,507,2,2,https://opensource-demo.orangehrmlive.com/webres_62f653e6d243d7.28560473/js/jquery/validate/jquery.validate.js,673,0,338
1660340656512,353,https://opensource-demo.orangehrmlive.com/index.php/dashboard/pendingLeaveRequests-9,200,OK,Thread Group 1-1,text,true,,18807,497,2,2,https://opensource-demo.orangehrmlive.com/webres_62f653e6d243d7.28560473/js/jquery/jquery.ui.core.js,353,0,0
1660340656516,702,https://opensource-demo.orangehrmlive.com/index.php/dashboard/pendingLeaveRequests-10,200,OK,Thread Group 1-1,text,true,,24092,502,2,2,https://opensource-demo.orangehrmlive.com/webres_62f653e6d243d7.28560473/js/jquery/jquery.autocomplete.js,699,0,350
